id,Declaration Type,Commodity Code,Item Description,Quantity,Total Value,Country of Origin,Destination Country,Importer/Exporter Name,Exporter Name,Exporter Address,Importer Name,Importer Address,Commodity Description,Quantity,Unit of Measure,Value,Country of Origin,HS Code,Invoice Number,Licence Number,Duty Paid,VAT/Tax ID,Special Instructions,Additional Documents,Certificate Number,Marks and Numbers,Net Weight,Gross Weight,Shipping Marks,Special Handling Instruction
1,Import,1001,Metal widget,100,5000,USA,Canada,JD Corp,JD Corp,123 Elm St, Los Angeles,ABC Company,456 Maple Ave, Toronto,Metal widget,100,pcs,5000,USA,2001,INV1001,LIC1001,150,CA123456,Handle with care.,Packing list,PL1001,M1-100,95,100,SM1001,Do not drop.
2,Export,1002,Plastic gadget,200,4000,Canada,USA,JS Enterprises,JS Enterprises,456 Oak Ave, New York,XYZ Corp,789 Birch Blvd, Chicago,Plastic gadget,200,pcs,4000,Canada,2002,INV1002,LIC1002,120,US234567,No sunlight.,Certificate of origin,CO1002,M2-200,190,195,SM1002,Keep dry.
3,Import,1003,Metal part,150,7500,Mexico,Canada,RB Ltd,RB Ltd,789 Maple Blvd, Chicago,DEF Ltd,101 Pine Ln, Vancouver,Metal part,150,pcs,7500,Mexico,2003,INV1003,LIC1003,225,CA345678,No heat.,Export declaration,ED1003,M3-150,140,145,SM1003,Away from magnets.
4,Export,1004,Wooden tool,75,3000,Canada,UK,EJ Co,EJ Co,101 Pine Ln, Houston,GHI Ltd,202 Birch Dr, London,Wooden tool,75,pcs,3000,Canada,2004,INV1004,LIC1004,90,UK456789,Keep flat.,Packing list,PL1004,M4-75,70,72,SM1004,No stacking.
5,Import,1005,Rubber accessory,250,2500,China,USA,MW Inc,MW Inc,202 Birch Dr, Phoenix,JKL Inc,303 Cedar Rd, Los Angeles,Rubber accessory,250,pcs,2500,China,2005,INV1005,LIC1005,75,US567890,No cold.,Certificate of origin,CO1005,M5-250,240,245,SM1005,Keep away from oils.
6,Export,1006,Glass fixture,80,6400,France,USA,SG LLC,SG LLC,303 Cedar Rd, San Antonio,MNO Corp,404 Spruce Way, Miami,Glass fixture,80,pcs,6400,France,2006,INV1006,LIC1006,192,US678901,Fragile.,Export declaration,ED1006,M6-80,78,82,SM1006,Handle gently.
7,Import,1007,Plastic toy,120,2400,Japan,Canada,DB Enterprises,DB Enterprises,404 Spruce Way, San Diego,PQR Inc,505 Fir Ct, Montreal,Plastic toy,120,pcs,2400,Japan,2007,INV1007,LIC1007,72,CA789012,Choking hazard.,Packing list,PL1007,M7-120,115,117,SM1007,Label as child toy.
8,Export,1008,Metal gear,90,8100,Germany,USA,OB Ltd,OB Ltd,505 Fir Ct, Sacramento,STU Corp,606 Redwood Ln, Boston,Metal gear,90,pcs,8100,Germany,2008,INV1008,LIC1008,243,US890123,Oil before use.,Export declaration,ED1008,M8-90,85,88,SM1008,Place upright.
9,Import,1009,Plastic clip,300,1500,UK,Canada,WR Corp,WR Corp,606 Redwood Ln, San Jose,UVW Inc,707 Cypress Ave, Ottawa,Plastic clip,300,pcs,1500,UK,2009,INV1009,LIC1009,45,CA012345,Sensitive to heat.,Certificate of origin,CO1009,M9-300,290,295,SM1009,Keep cool.
10,Export,1010,Steel bolt,210,4200,USA,UK,EY Inc,EY Inc,707 Cypress Ave, Salt Lake City,XYZ Ltd,808 Palm Way, Manchester,Steel bolt,210,pcs,4200,USA,2010,INV1010,LIC1010,126,UK123456,Do not over-tighten.,Packing list,PL1010,M10-210,200,210,SM1010,Store in boxes.
